Name ,Cuisine ,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
The Trestle Inn,Dive Bar,$,4,No
Triangle Tavern,Dive Bar,$$,4.2,No
Union Tap House,Dive Bar,$,4.1,No
Donut Plus,Donuts,$,4.1,No
Abyssinia Bar and Restaurant,Ethiopian,$,3.9,Yes
Almaz Caf�,Ethiopian,$,4.6,No
Doro Bet ,Ethiopian,$,4.4,No
Gojjo,Ethiopian,$$,4.2,Yes
Queen of Sheba,Ethiopian,$,4.3,No
Asad's Hot Chicken,Fast Food,$,4.1,Yes
Raising Canes,Fast Food,$,4.5,Yes
Chick-fil-A,Fast Food,$,4.3,Yes
McDonald's,Fast Food,$,4.4,Yes
Subway,Fast Food,$,3.8,No
Crown Fried Chicken,Fast Food,$,4,No
Pelicana,Fast Food,$$,4.5,No
Raising Cane's,Fast Food,$,4.1,Yes
Tabachoy,Filipino,$$,4.3,Yes
Forsythia,French,$$$$,4.1,No
Her Place Supper Club,French,$$$$,4.5,No
Laurel ,French,$$$,4.1,No
Louie Louie,French,$$$,4.5,Yes
Parc,French,$$$,4,Yes
Royal Boucherie,French,$$$,3.8,No
Sofi's Corner Cafe,French,$$,4.3,No
American Sardine Bar,Gastropub,$$,3.9,Yes
Butcher Bar,Gastropub,$$,4.2,No
Darling Jack's Tavern,Gastropub,$$,4,No
Glory Beer Bar & Kitchen ,Gastropub,$$,3.9,No
Good Dog Bar,Gastropub,$$,3.8,No
Grace & Proper,Gastropub,$$,4.1,Yes
Harp & Crown,Gastropub,$$$,4.4,Yes
Khyber Pass Pub,Gastropub,$$,4.1,No
MilkBoy,Gastropub,$$,4.5,No
Monk's Cafe,Gastropub,$$,4.6,No
Sassafras,Gastropub,$$,4.3,No
Sidecar Bar & Grille ,Gastropub,$$,3.8,No
St. Oner's ,Gastropub,$$,4.6,No
The Dandelion,Gastropub,$$,4.2,No
The Good King Tavern,Gastropub,$$,3.9,No
The Morris ,Gastropub,$$$,4,Yes
The Plough & The Stars,Gastropub,$$,3.8,No
Twisted Tail,Gastropub,$$,4.3,No
Village Whiskey,Gastropub,$$,4.2,No
1-900-ICE-CREAM,Ice Cream,$,4.3,No
D'Emilio's Old World Ice Treats,Ice Cream,$,4.6,No
Jeni's Splendid Ice Creams,Ice Cream,$$,3.9,No
Milk Jawn,Ice Cream,$$,4.3,Yes
The Franklin Fountain,Ice Cream,$$,4.4,No
Weckerly's Ice Cream,Ice Cream,$,4,No
Amma's South Indian Cuisine,Indian,$$,4.4,Yes
Ekta Indian Cuisine,Indian,$,4.5,Yes
The Palace of Indian,Indian,$,3.9,No
Virasat Haveli,Indian,$$,4.4,Yes
Dante & Luigis ,Italian,$$$,4.1,No
Gran Caffe L'Aquila,Italian,$$,4.1,No
Le Virtu ,Italian,$$$,4.1,Yes
Postiano Coast,Italian,$$$,4.4,Yes
Saloon,Italian,$$$,3.9,Yes
Ambrosia Ristorante BYOB,Italian ,$$,4.4,No
Bistro La Baia BYOB,Italian ,$$,4,No
Burrarta ,Italian ,$$,4.2,No
Fiorella Pasta,Italian ,$$,3.9,No
Giorgio On Pine,Italian ,$$,4.5,No
Giuseppe & Sons ,Italian ,$$,4.4,No
Il Ghiottone,Italian ,$,3.8,No
Illata,Italian ,$$,4,Yes
Irwin's ,Italian ,$$$,4.1,No
L'Anima BYOB,Italian ,$$,4.2,No
Little Nonna's ,Italian ,$$,3.8,No
Murph's Bar,Italian ,$,4.1,No
Osteria,Italian ,$$$,3.9,Yes
Pagano's Market and Bar,Italian ,$$,3.9,No
The Victor Cafe,Italian ,$$$,4.4,No
Trattoria Carina,Italian ,$$$,4,Yes
Vetri Cucina,Italian ,$$$$,4.3,No
Via Locusta,Italian ,$$,4.2,No
Wm. Mulherin's Sons,Italian ,$$$,4,No
Aki Nom Nom Sushi and Ramen ,Japanese,$$,4.8,No
Dasiwa,Japanese,$$,4.3,Yes
Double Knot,Japanese,$$,4.6,No
Fat Salmon Sushi,Japanese,$$,4,No
Hibachi Japanese Steakhouse & Sushi Bar,Japanese,$$,4.1,Yes
Kei Sushi Restaurant,Japanese,$,3.8,Yes
Kichi Omakase,Japanese,$$$,4.4,No
Kura Revolving Sushi,Japanese,$$,4,No
Machi Sushi Bar,Japanese,$,4.2,No
Royal Sushi & Izakaya,Japanese,$$,4.5,No
Sagami Japanese ,Japanese,$$,3.9,No
Sushi and Poke,Japanese,$,4.6,No
Umai Umai,Japanese,$$,4.3,No
Vic Sushi Bar,Japanese,$$,3.9,No
Yakitori Boy,Japanese,$$,3.6,No
Zama,Japanese,$$,4.1,No
Uni Japanese Cuisine,Japanese ,$$,3.8,No
SouthGate,Korean,$$,4.5,No
Bolo,Latin,$$$,4,No
Mixto Restaurante,Latin,$$$,4,Yes
Mr. Platano's Restaurant,Latin,$,4,No
Perla ,Latin,$$$,3.8,Yes
Almyra,Mediterranean,$,4.3,No
Alyan's Middle Eastern,Mediterranean,$,4.5,No
Barbuzzo,Mediterranean,$$,4,No
Dizengoff,Mediterranean,$,4.2,No
Goldie,Mediterranean,$,4.2,No
Hadramount ,Mediterranean,$,4,Yes
Kabobeesh,Mediterranean,$,4.4,Yes
Kanella,Mediterranean,$$,4.1,No
Laser Wolf,Mediterranean,$$$$,4,No
Lily's Ferry,Mediterranean,$$,4.2,No
Makkah Market,Mediterranean,$,4.3,Yes
Manakeesh Cafe Bakery & Grill,Mediterranean,$,4.6,No
