Name ,Cuisine ,Delivery,Takeout,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
Sky Cafe,Asian ,No,Yes,$,4.6,
Small Oven/ Porcos Porchetteria,Bakery,Yes,Yes,$$,4.9,
Sofi's Corner Cafe,French,No,Yes,$$,4.3,
Solar Myth ,Cocktails,No,No,$$,4.2,
Sophie's Kitchen,Asian ,Yes,Yes,$,4.1,
South Philly Barbacoa,Mexican,Yes,Yes,$,4.1,
SOUTH Restaurant & Jazz Club,American,No,No,$$$,4,
SouthGate,Korean,Yes,Yes,$$,4.5,
Spread Bagelry,Bakery,Yes,Yes,$,4.6,
SQ Philip's Steaks,Bodega/Late Night,Yes,Yes,$,4.2,
Square Pie,Pizza,Yes,Yes,$$,4.4,
St. Oner's ,Gastropub,No,Yes,$$,4.6,
Steve's Prince of Steaks,Cheesesteaks,No,Yes,$,4.5,
Stina Pizzeria,Mediterranean,Yes,Yes,$$,4.5,
Stratus,Cocktails,Yes,No,$$$,3.9,
Sulimay's Restauraunt,Breakfast/Brunch,No,No,$,4.4,
Superfolie,Cocktails,No,No,$$$,3.9,
Suprema Coffee Roastery,Coffeeshop,No,Yes,$$,4.4,
Suraya Restaurant,Mediterranean,No,Yes,$$,4.3,
Sushi and Poke,Japanese,Yes,Yes,$,4.6,
Tabachoy,Filipino,No,Yes,$$,4.3,
Taco Heart,Mexican,Yes,Yes ,$$,4.1,
Tacos Don Memo,Mexican,No,No,$,4.4,
Talula's Daily,American,Yes,Yes,$$,4.2,
Talula's Garden,American,No,No,$$$,4.3,
Tamalex,Mexican,Yes,Yes,$$,4.3,
Taqueria La Prima,Mexican,No,Yes,$,4.3,
Tatooed Mom,Dive Bar,Yes,Yes,$,4.4,
Terakawan Ramen,Asian ,Yes,Yes,$$,4.5,
Termini Bros Bakery,Bakery,Yes,Yes,$$,4.1,
The daily.,Coffeeshop,No,Yes,$$,4.1,
The Dandelion,Gastropub,Yes,Yes,$$,4.2,
The Dutch,Breakfast/Brunch,No,Yes,$$,3.9,
The Franklin Fountain,Ice Cream,Yes,Yes,$$,4.4,
The Franklin Mortgage & Investment,Cocktails,No,No,$$$,4.5,
The Good King Tavern,Gastropub,Yes,Yes,$$,3.9,
The Ground Rittenhouse,Coffeeshop,Yes,Yes,$$,4.3,
The Jug Handle Inn,Dive Bar,No,Yes,$,4.5,
The Last Drop Coffee House,Coffeeshop,No,Yes,$,4,
The Love,American,No,No,$$$$,4.1,
The Morris ,Gastropub,Yes,Yes,$$$,4,
The Palace of Indian,Indian,Yes,Yes,$,3.9,
The Plough & The Stars,Gastropub,Yes,Yes,$$,3.8,
The Post ,Dive Bar,Yes,Yes,$$,4.4,
The Pub on Passyunk East,Dive Bar,No,Yes,$$,4.3,
The Ranstead Room,Cocktails,No,No,$$,3.9,
The Trestle Inn,Dive Bar,No,No,$,4,
The Victor Cafe,Italian ,No,Yes,$$$,4.4,
Time,Cocktails,Yes,Yes,$$,3.9,
Tio Flores,Mexican,Yes,Yes,$$,4.3,
Tired Hands Fermentaria Tap Room,Brewery,No,Yes,$$,4,
Tony and Nick's Steaks,Cheesesteaks,Yes,Yes,$,3.8,
Trattoria Carina,Italian ,Yes,Yes,$$$,4,
Triangle Tavern,Dive Bar,Yes,Yes,$$,4.2,
Twisted Tail,Gastropub,Yes,Yes,$$,4.3,
Ultimo Coffee,Coffeeshop,No,Yes,$$,4.1,
Umai Umai,Japanese,No,Yes,$$,4.3,
Uni Japanese Cuisine,Japanese ,Yes,Yes,$$,3.8,
Union Tap House,Dive Bar,No,No,$,4.1,
Uzbekistan Restaurant,Uzbeki,No,Yes,$$,3.9,
Vedge,Vegan,No,No,$$$,4.3,
Vernick Coffee Bar,Coffeeshop,No,Yes,$$,4.2,
Vernick Food & Drink,American,No,No,$$$$,4.6,
Vesper Center City,Club,No,Yes,$$$,4.4,
Vetri Cucina,Italian ,No,No,$$$$,4.3,
Via Locusta,Italian ,No,No,$$,4.2,
Vibrant Coffee Roasters & Bakery,Coffeeshop,Yes,Yes,$$,4,
Vic Sushi Bar,Japanese,Yes,Yes,$$,3.9,
Victory Brewing Company,Brewery,No,Yes,$$,4.4,
